uniq_id,manufacturer,price,number_of_reviews,product_name_new,category,subcategory,Rating
6ddf81008ccb23506757463d9290d3aa,MyTinyWorld,2.53,1,MyTinyWorld Dol,Dolls & Accessories , Dolls' House Dolls & Accessories ,5.0
0457d5bf915e050032dffb3d2e950608,Unknown,3.99,2,Dolls House Chr,Dolls & Accessories , Dolls' House Dolls & Accessories ,4.5
1fbadacb9ab7f14298e7690490ad8112,Farrow Industries,3.95,1,Dolls House Min,Dolls & Accessories , Dolls' House Dolls & Accessories ,5.0
9c943f633e9dfdf99047f3a3f79de5b6,MyTinyWorld,6.0,1,MyTinyWorld Dol,Dolls & Accessories , Dolls' House Dolls & Accessories ,5.0
fc8f6af70652b985ecda98c6a61268f4,Town Square Miniatures,4.5,1,Dolls House Min,Dolls & Accessories , Dolls' House Dolls & Accessories ,5.0
44cfa05ad782c0e547e0ca562d077757,MyTinyWorld,1.8,1,6 x MyTinyWorld,Dolls & Accessories , Dolls' House Dolls & Accessories ,5.0
9890b636d70a8c1ca507f503fa942887,"Houseworks, Ltd.",5.99,1,Dolls House Min,Dolls & Accessories , Dolls' House Dolls & Accessories ,4.0
fa7546c90c8d22ac3cc9bdd5c6b315b0,Falcon,5.39,1,Dolls House Min,Dolls & Accessories , Dolls' House Dolls & Accessories ,5.0
7c8266e4573113f4d49e7d6d5b3d8e51,Generic,9.59,2,46pcs 1/12 Doll,Dolls & Accessories , Dolls' House Dolls & Accessories ,4.5
2d4db06a1d35a920e0fdf9a87d5a23c2,MyTinyWorld,3.25,1,MyTinyWorld Dol,Dolls & Accessories , Dolls' House Dolls & Accessories ,4.0
ae4e89b08b46bf73e80f4dcf5d5d648f,Town Square Miniatures,2.99,7,New Dolls House,Dolls & Accessories , Dolls' House Dolls & Accessories ,5.0
0f99efa9e1a9c9cb6534bb7cb782d7ca,STREETS AHEAD,3.19,1,Dolls House Min,Dolls & Accessories , Dolls' House Dolls & Accessories ,5.0
c3a448dca266e5fa6ff206e8875ce255,Generic,2.22,6,1:12 Doll House,Dolls & Accessories , Dolls' House Dolls & Accessories ,4.0
c97f3a851505849c5df4eb7010e598c6,MyTinyWorld,2.6,1,MyTinyWorld Dol,Dolls & Accessories , Dolls' House Dolls & Accessories ,5.0
